Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Winner,HREMONTADA,AREMONTADA,Referee
E0,17/12/2023,14:00,Brentford,Aston Villa,1,2,A,1,0,H,Aston Villa,0,1,D Coote
E0,17/12/2023,14:00,West Ham,Wolves,3,0,H,2,0,H,West Ham,0,0,C Kavanagh
E0,17/12/2023,16:30,Liverpool,Man United,0,0,D,0,0,D,Draw,0,0,M Oliver
E0,21/12/2023,20:00,Crystal Palace,Brighton,1,1,D,1,0,H,Draw,0,0,J Brooks
E0,22/12/2023,20:00,Aston Villa,Sheffield United,1,1,D,0,0,D,Draw,0,0,A Taylor
E0,23/12/2023,12:30,West Ham,Man United,2,0,H,0,0,D,West Ham,0,0,S Hooper
E0,23/12/2023,15:00,Fulham,Burnley,0,2,A,0,0,D,Burnley,0,0,R Welch
E0,23/12/2023,15:00,Luton,Newcastle,1,0,H,1,0,H,Luton,0,0,D England
E0,23/12/2023,15:00,Nott'm Forest,Bournemouth,2,3,A,0,0,D,Bournemouth,0,0,R Jones
E0,23/12/2023,15:00,Tottenham,Everton,2,1,H,2,0,H,Tottenham,0,0,S Attwell
E0,23/12/2023,17:30,Liverpool,Arsenal,1,1,D,1,1,D,Draw,0,0,C Kavanagh
E0,24/12/2023,13:00,Wolves,Chelsea,2,1,H,0,0,D,Wolves,0,0,D Coote
E0,26/12/2023,12:30,Newcastle,Nott'm Forest,1,3,A,1,1,D,Nott'm Forest,0,0,C Kavanagh
E0,26/12/2023,15:00,Bournemouth,Fulham,3,0,H,1,0,H,Bournemouth,0,0,T Robinson
E0,26/12/2023,15:00,Sheffield United,Luton,2,3,A,0,1,A,Luton,0,0,S Allison
E0,26/12/2023,17:30,Burnley,Liverpool,0,2,A,0,1,A,Liverpool,0,0,P Tierney
E0,26/12/2023,20:00,Man United,Aston Villa,3,2,H,0,2,A,Man United,1,0,C Pawson
E0,27/12/2023,19:30,Brentford,Wolves,1,4,A,1,3,A,Wolves,0,0,A Madley
E0,27/12/2023,19:30,Chelsea,Crystal Palace,2,1,H,1,1,D,Chelsea,0,0,M Salisbury
E0,27/12/2023,20:15,Everton,Man City,1,3,A,1,0,H,Man City,0,1,J Brooks
E0,28/12/2023,19:30,Brighton,Tottenham,4,2,H,2,0,H,Brighton,0,0,J Gillett
E0,28/12/2023,20:15,Arsenal,West Ham,0,2,A,0,1,A,West Ham,0,0,M Oliver
E0,30/12/2023,12:30,Luton,Chelsea,2,3,A,0,2,A,Chelsea,0,0,P Tierney
E0,30/12/2023,15:00,Aston Villa,Burnley,3,2,H,2,1,H,Aston Villa,0,0,S Attwell
E0,30/12/2023,15:00,Crystal Palace,Brentford,3,1,H,2,1,H,Crystal Palace,0,0,R Jones
E0,30/12/2023,15:00,Man City,Sheffield United,2,0,H,1,0,H,Man City,0,0,D Coote
E0,30/12/2023,15:00,Wolves,Everton,3,0,H,1,0,H,Wolves,0,0,T Bramall
E0,30/12/2023,17:30,Nott'm Forest,Man United,2,1,H,0,0,D,Nott'm Forest,0,0,T Robinson
E0,31/12/2023,14:00,Fulham,Arsenal,2,1,H,1,1,D,Fulham,0,0,J Smith
E0,31/12/2023,14:00,Tottenham,Bournemouth,3,1,H,1,0,H,Tottenham,0,0,S Hooper
E0,01/01/2024,20:00,Liverpool,Newcastle,4,2,H,0,0,D,Liverpool,0,0,A Taylor
E0,02/01/2024,19:30,West Ham,Brighton,0,0,D,0,0,D,Draw,0,0,S Barrott
E0,12/01/2024,19:45,Burnley,Luton,1,1,D,1,0,H,Draw,0,0,T Harrington
E0,13/01/2024,12:30,Chelsea,Fulham,1,0,H,1,0,H,Chelsea,0,0,A Taylor
